code,symbol,minorUnit,name,descr
USD,$,2,US Dollar,Official currency of the United States
EUR,€,2,Euro,Common currency used in the Eurozone
GBP,£,2,British Pound Sterling,Used in the United Kingdom
JPY,¥,0,Japanese Yen,Official currency of Japan
TRY,₺,2,Turkish Lira,Official currency of Turkey
